observer_asn,observer_is_rpki,timestamp,attack_type,attacker_asn,prefix,as_path_length
10946,False,1771013041,ROUTE_FLAPPING,10946,1.2.0.0/16,1
6939,True,1771013041,ROUTE_FLAPPING,10946,1.2.0.0/16,2
10242,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
6661,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
3599,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
11282,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
6165,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
11287,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
24,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
9241,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
11300,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
11300,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,4
549,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
6181,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
4651,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
4651,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,1
2044,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
557,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
4657,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,2
4657,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
4658,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
3634,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
7219,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
4150,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
2615,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
2615,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
11320,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
57,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
57,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,4
72,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
72,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,4
7753,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
1610,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
77,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
3663,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
7247,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
9299,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
10835,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
4697,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
5723,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
8798,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
7775,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
7782,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
1640,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
7784,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
9833,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
109,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
109,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
109,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,4
109,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,4
11374,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
112,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
112,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,4
6768,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
10352,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
4723,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
3700,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
4213,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
11385,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
7806,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
4224,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
5760,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
5767,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
11399,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
2698,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
2698,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,4
8330,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
3212,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
7311,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
9873,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
6296,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
4764,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
4764,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
6300,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
4766,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
166,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
4775,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
4775,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,4
2728,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
7849,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
2730,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
6315,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
6140,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
7341,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
2734,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
11437,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
10929,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
4788,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
3255,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
10423,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
11448,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
3770,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
4800,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
10946,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
10947,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
8902,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
9927,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
9927,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,4
4809,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
9930,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
9930,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,4
11468,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
10958,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
11472,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
4817,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
4307,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
11475,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
6360,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
7896,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
7896,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,4
7896,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,4
4826,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,2
4826,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
10971,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
4318,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
6366,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
7393,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
226,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
2274,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
10980,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
10980,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,4
9957,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
9957,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,4
11492,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
3303,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,2
3303,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
6379,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
749,True,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
1261,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
1261,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,4
10990,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,3
10990,False,1771013282,SUBPREFIX_HIJACK,4651,1.2.3.0/24,4
